sentence_id,word_id,content,FFD,GD,GPT,TRT,nFix,reading_order
0,0_0,Henry,89.86,103.21,103.21,144.57,1.36,0.0
0,0_1,"Ford,",79.4,83.87,127.33,136.67,1.6,1.0
0,0_10,in,85.15,85.15,155.31,140.62,1.15,10.0
0,0_11,1936,191.41,286.18,467.76,531.82,3.06,11.0
0,0_12,as,122.73,122.73,157.27,135.55,1.18,12.0
0,0_13,a,127.4,127.4,203.8,164.1,1.4,13.0
0,0_14,local,111.71,141.29,247.29,197.5,1.86,14.0
0,0_15,philanthropic,125.24,223.53,391.53,334.59,3.06,15.0
0,0_16,organization,126.65,134.94,275.24,210.47,1.82,16.0
0,0_17,with,136.86,136.86,168.14,156.0,1.29,17.0
0,0_18,a,102.0,102.0,102.0,102.0,1.0,18.0
0,0_19,broad,112.0,141.4,148.2,227.53,2.13,19.0
0,0_2,with,87.75,101.0,101.0,174.58,1.83,2.0
0,0_20,charter,131.93,143.0,256.13,227.07,1.93,20.0
0,0_21,to,96.33,96.33,96.33,96.33,1.0,21.0
0,0_22,promote,102.06,147.75,371.75,261.31,2.31,22.0
0,0_23,human,116.12,120.44,451.06,251.06,2.06,23.0
0,0_24,welfare.,183.0,202.64,1250.82,272.73,1.82,24.0
0,0_3,his,79.71,79.71,154.0,115.21,1.36,3.0
0,0_4,son,95.77,95.77,223.38,161.62,1.62,4.0
0,0_5,"Edsel,",168.31,168.31,221.06,294.19,2.12,5.0
0,0_6,founded,114.24,136.12,176.35,242.88,2.24,6.0
0,0_7,the,97.09,97.09,106.82,113.91,1.18,7.0
0,0_8,Ford,120.22,120.22,146.33,147.44,1.33,8.0
0,0_9,Foundation,106.29,118.06,174.53,196.35,1.82,9.0
1,1_0,After,137.2,145.8,145.8,163.3,1.3,0.0
1,1_1,this,103.15,103.15,114.15,179.08,1.69,1.0
1,1_10,other,99.69,99.69,141.94,164.5,1.62,10.0
1,1_11,"investors,",117.88,127.62,402.25,233.75,2.06,11.0
1,1_12,formed,126.67,131.4,164.93,243.67,2.0,12.0
1,1_13,the,81.89,81.89,140.78,109.22,1.22,13.0
1,1_14,Detroit,109.43,129.43,360.07,199.5,1.86,14.0
1,1_15,Automobile,124.65,195.76,388.71,277.76,2.24,15.0
1,1_16,Company.,149.15,159.0,915.0,214.15,1.62,16.0
1,1_2,initial,105.13,118.8,179.27,224.6,2.13,2.0
1,1_3,"success,",113.56,117.5,172.06,197.81,1.81,3.0
1,1_4,Ford,118.21,124.86,177.14,282.0,2.36,4.0
1,1_5,left,104.2,104.2,110.07,211.13,1.93,5.0
1,1_6,Edison,128.59,170.12,241.53,398.82,3.35,6.0
1,1_7,Illuminating,144.76,201.71,346.18,369.12,2.88,7.0
1,1_8,"and,",157.17,190.5,390.92,225.83,1.58,8.0
1,1_9,with,106.62,116.31,244.0,217.5,2.0,9.0
2,2_0,With,96.57,143.0,143.0,169.86,1.57,0.0
2,2_1,his,119.08,125.25,148.83,167.33,1.42,1.0
2,2_10,"company,",111.88,125.69,218.5,159.62,1.5,10.0
2,2_11,the,144.0,144.0,144.0,144.0,1.0,11.0
2,2_12,Henry,91.12,119.25,145.88,237.5,2.06,12.0
2,2_13,Ford,124.44,144.81,355.06,236.25,1.81,13.0
2,2_14,Company.,174.92,251.15,807.23,304.92,1.85,14.0
