sentence_id,word_id,content,FFD,GD,GPT,TRT,nFix,reading_order,node_id,node_type,instance,word_index,word,depth,degree,in_degree,out_degree
0,0_0,Henry,89.86,103.21,103.21,144.57,1.36,0.0,n,instance,name,0,Henry,3,3,1,2
0,0_1,"Ford,",79.4,83.87,127.33,136.67,1.6,1.0,n3,instance,name,0,Ford,2,3,1,2
0,0_11,1936,191.41,286.18,467.76,531.82,3.06,11.0,d,instance,date-entity,0,1936,1,2,1,1
0,0_14,local,111.71,141.29,247.29,197.5,1.86,14.0,l,instance,local,0,local,3,1,1,0
0,0_15,philanthropic,125.24,223.53,391.53,334.59,3.06,15.0,p3,instance,philanthropic,0,philanthropic,3,1,1,0
0,0_16,organization,126.65,134.94,275.24,210.47,1.82,16.0,o,instance,organization,0,organization,2,4,2,2
0,0_19,broad,112.0,141.4,148.2,227.53,2.13,19.0,b,instance,broad,0,broad,0,1,1,0
0,0_20,charter,131.93,143.0,256.13,227.07,1.93,20.0,c,instance,charter,0,charter,0,2,1,1
0,0_22,promote,102.06,147.75,371.75,261.31,2.31,22.0,p4,instance,promote-02,0,promote-02,0,4,0,4
0,0_23,human,116.12,120.44,451.06,251.06,2.06,23.0,h,instance,human,0,human,0,1,1,0
0,0_24,welfare.,183.0,202.64,1250.82,272.73,1.82,24.0,w,instance,welfare,0,welfare,0,2,1,1
0,0_4,son,95.77,95.77,223.38,161.62,1.62,4.0,s,instance,son-01,0,son-01,0,3,0,3
0,0_5,"Edsel,",168.31,168.31,221.06,294.19,2.12,5.0,n2,instance,name,0,Edsel,3,2,1,1
0,0_8,Ford,120.22,120.22,146.33,147.44,1.33,8.0,n3,instance,name,0,Ford,2,3,1,2
0,0_9,Foundation,106.29,118.06,174.53,196.35,1.82,9.0,f2,instance,foundation,0,foundation,1,3,1,2
1,1_0,After,137.2,145.8,145.8,163.3,1.3,0.0,a2,instance,after,0,after,2,2,1,1
1,1_10,other,99.69,99.69,141.94,164.5,1.62,10.0,o,instance,other,0,other,4,1,1,0
1,1_14,Detroit,109.43,129.43,360.07,199.5,1.86,14.0,n3,instance,name,0,Detroit,3,4,1,3
1,1_15,Automobile,124.65,195.76,388.71,277.76,2.24,15.0,n3,instance,name,1,Automobile,3,4,1,3
1,1_16,Company.,149.15,159.0,915.0,214.15,1.62,16.0,c,instance,company,0,company,2,2,1,1
1,1_2,initial,105.13,118.8,179.27,224.6,2.13,2.0,i,instance,initial,0,initial,4,1,1,0
1,1_4,Ford,118.21,124.86,177.14,282.0,2.36,4.0,n,instance,name,0,Ford,3,2,1,1
1,1_6,Edison,128.59,170.12,241.53,398.82,3.35,6.0,n2,instance,name,0,Edison,3,3,1,2
1,1_7,Illuminating,144.76,201.71,346.18,369.12,2.88,7.0,n2,instance,name,1,Illuminating,3,3,1,2
1,1_8,"and,",157.17,190.5,390.92,225.83,1.58,8.0,a,instance,and,0,and,0,2,0,2
1,1_9,with,106.62,116.31,244.0,217.5,2.0,9.0,w,instance,with,0,with,2,2,1,1
2,2_10,"company,",111.88,125.69,218.5,159.62,1.5,10.0,c,instance,company,0,company,1,3,1,2
2,2_12,Henry,91.12,119.25,145.88,237.5,2.06,12.0,n,instance,name,0,Henry,2,4,1,3
2,2_13,Ford,124.44,144.81,355.06,236.25,1.81,13.0,n,instance,name,1,Ford,2,4,1,3
2,2_14,Company.,174.92,251.15,807.23,304.92,1.85,14.0,c,instance,company,0,company,1,3,1,2
2,2_2,interest,140.94,146.18,216.24,284.0,2.24,2.0,i,instance,interest-01,0,interest-01,0,4,1,3
2,2_4,race,111.2,115.33,156.8,217.2,1.8,4.0,r,instance,race-02,0,race-02,0,2,1,1
2,2_5,"cars,",101.44,109.78,164.0,155.78,1.44,5.0,c3,instance,car,0,car,0,2,1,1
2,2_6,he,114.25,114.25,194.0,206.5,1.62,6.0,h,instance,he,0,he,1,2,2,0
3,3_1,this,107.57,107.57,171.5,179.71,1.57,1.0,t,instance,this,0,this,2,1,1,0
3,3_12,race,96.55,102.82,150.09,153.91,1.55,12.0,r,instance,race-02,0,race-02,2,5,1,4
3,3_14,Alexander,104.73,136.87,136.87,259.47,2.67,14.0,n2,instance,name,0,Alexander,4,3,1,2
3,3_15,"Winton,",144.13,163.0,317.73,333.27,2.73,15.0,n2,instance,name,1,Winton,4,3,1,2
3,3_2,"period,",112.38,112.38,117.12,179.56,1.69,2.0,p3,instance,period,0,period,1,2,1,1
3,3_21,heavy,108.0,124.06,172.5,223.81,2.06,21.0,h,instance,heavy,0,heavy,0,1,1,0
3,3_26,1901.,180.19,224.12,1731.19,378.94,2.31,26.0,d3,instance,date-entity,0,1901,3,4,1,3
3,3_7,Quadricycle,143.0,317.18,506.53,658.24,4.59,7.0,n,instance,name,0,Quadricycle,2,2,1,1
4,4_0,Ford,128.92,128.92,128.92,224.0,1.67,0.0,n2,instance,name,0,Ford,3,2,1,1
4,4_11,Henry,104.19,104.19,210.38,205.19,1.88,11.0,n,instance,name,0,Henry,0,4,1,3
4,4_12,M.,92.4,92.4,116.0,137.2,1.4,12.0,n,instance,name,1,M.,0,4,1,3
4,4_13,Leland,140.29,154.82,274.35,318.47,2.41,13.0,n,instance,name,2,Leland,0,4,1,3
4,4_15,"1902,",115.56,153.19,221.69,288.19,2.31,15.0,d,instance,date-entity,0,1902,2,2,1,1
4,4_16,and,111.17,111.17,174.17,111.17,1.0,16.0,a,instance,and,0,and,0,2,0,2
4,4_18,company,101.69,105.0,215.5,112.5,1.19,18.0,c,instance,company,0,company,2,2,2,0
4,4_22,Cadillac.,107.71,154.24,1016.88,267.35,1.88,22.0,n3,instance,name,0,Cadillac,3,2,1,1
4,4_6,company,95.35,105.65,115.82,165.53,1.65,6.0,c,instance,company,0,company,2,2,2,0
4,4_9,"investors,",118.64,156.0,216.14,161.57,1.43,9.0,i,instance,investor,0,investor,2,2,2,0
5,5_1,"1891,",147.75,247.12,385.75,747.69,4.31,1.0,d,instance,date-entity,0,1891,2,2,1,1
5,5_10,"Company,",112.0,130.65,547.06,271.24,2.47,10.0,c,instance,company,0,company,3,2,1,1
5,5_11,and,104.4,104.4,104.4,158.9,1.5,11.0,a,instance,and,0,and,0,2,0,2
5,5_12,after,111.27,120.67,187.4,153.67,1.4,12.0,a4,instance,after,0,after,2,2,1,1
5,5_16,Chief,90.47,90.47,90.47,104.8,1.13,16.0,c3,instance,chief,0,chief,5,1,1,0
5,5_17,Engineer,134.27,165.53,165.53,215.47,1.8,17.0,e,instance,engineer,0,engineer,2,2,1,1
5,5_19,"1893,",213.44,320.31,755.56,515.31,2.94,19.0,d3,instance,date-entity,0,1893,4,2,1,1
5,5_2,Ford,115.25,115.25,303.44,231.88,2.06,2.0,n,instance,name,0,Ford,3,2,1,1
5,5_22,enough,101.5,109.07,127.07,126.79,1.29,22.0,e2,instance,enough,0,enough,4,2,2,0
5,5_23,time,102.88,112.88,112.88,112.88,1.12,23.0,t,instance,time,0,time,3,2,1,1
5,5_24,and,93.0,93.0,93.0,127.0,1.33,24.0,a,instance,and,0,and,0,2,0,2
5,5_25,money,101.4,120.93,144.4,141.93,1.47,25.0,m,instance,money,0,money,3,2,1,1
5,5_27,devote,103.93,129.07,129.07,134.53,1.27,27.0,d2,instance,devote-01,0,devote-01,2,5,1,4
5,5_28,attention,121.67,155.0,231.47,174.93,1.53,28.0,a3,instance,attention,0,attention,3,1,1,0
5,5_31,personal,153.0,164.47,174.6,170.6,1.2,31.0,p2,instance,personal,0,personal,4,1,1,0
5,5_32,experiments,118.44,144.12,144.12,188.94,1.62,32.0,e3,instance,experiment-01,0,experiment-01,3,5,1,4
5,5_34,internal,123.88,163.06,305.25,223.69,1.88,34.0,i,instance,internal,0,internal,5,1,1,0
5,5_35,combustion,142.33,181.13,415.93,229.13,1.93,35.0,c2,instance,combustion,0,combustion,5,1,1,0
5,5_36,engines.,108.14,165.43,981.43,187.64,1.71,36.0,e4,instance,engine,0,engine,4,3,1,2
5,5_5,engineer,111.24,120.12,176.59,262.53,2.59,5.0,e,instance,engineer,0,engineer,2,2,1,1
5,5_8,Edison,96.5,123.0,145.0,232.12,1.94,8.0,n2,instance,name,0,Edison,4,4,1,3
5,5_9,Illuminating,121.65,175.06,292.82,292.88,2.65,9.0,n2,instance,name,1,Illuminating,4,4,1,3
6,6_1,experiments,96.88,107.69,144.19,229.31,1.94,1.0,e,instance,experiment-01,0,experiment-01,1,3,1,2
6,6_12,vehicle,118.76,138.24,138.24,175.94,1.71,12.0,v,instance,vehicle,0,vehicle,2,5,4,1
6,6_15,"Quadricycle,",112.88,245.41,366.94,298.47,2.53,15.0,n2,instance,name,0,Quadricycle,0,2,1,1
6,6_17,he,91.3,91.3,134.0,114.6,1.3,17.0,h,instance,he,0,he,3,2,2,0
6,6_4,1896,219.82,287.12,375.29,550.76,2.76,4.0,d,instance,date-entity,0,1896,1,2,1,1
7,7_0,Ford,135.38,161.38,161.38,274.88,2.0,0.0,n,instance,name,0,Ford,2,2,1,1
7,7_10,(now,99.64,99.64,221.73,160.0,1.64,10.0,n5,instance,now,0,now,4,1,1,0
7,7_13,city,102.33,108.0,146.25,146.83,1.33,13.0,c,instance,city,0,city,3,4,1,3
7,7_15,"Dearborn,",151.12,215.88,343.0,387.88,2.88,15.0,n3,instance,name,0,Dearborn,4,2,1,1
7,7_16,Michigan),135.53,144.12,233.0,208.65,1.71,16.0,n4,instance,name,0,Michigan,5,2,1,1
7,7_21,William,110.81,117.19,145.81,194.75,1.81,21.0,n6,instance,name,0,William,3,3,1,2
7,7_22,Ford,96.71,96.71,291.07,145.21,1.57,22.0,n,instance,name,0,Ford,2,2,1,1
7,7_24,and,85.9,85.9,171.7,116.8,1.3,24.0,a,instance,and,0,and,1,3,1,2
7,7_25,Mary,93.25,109.25,164.69,153.75,1.62,25.0,n9,instance,name,0,Mary,3,3,1,2
7,7_26,Litogot,124.87,212.33,593.6,286.07,2.07,26.0,n9,instance,name,1,Litogot,3,3,1,2
