sentence_id,node_id,node_type,instance,word_index,word,depth,degree,in_degree,out_degree
0,f,instance,found-01,0,found-01,0,4,0,4
0,a,instance,and,0,and,1,3,1,2
0,p,instance,person,0,person,2,3,2,1
0,n,instance,name,0,Henry,3,3,1,2
0,p2,instance,person,0,person,2,3,2,1
0,n2,instance,name,0,Edsel,3,2,1,1
0,s,instance,son-01,0,son-01,0,3,0,3
0,f2,instance,foundation,0,foundation,1,3,1,2
0,n3,instance,name,0,Ford,2,3,1,2
0,o,instance,organization,0,organization,2,4,2,2
0,l,instance,local,0,local,3,1,1,0
0,p3,instance,philanthropic,0,philanthropic,3,1,1,0
0,p4,instance,promote-02,0,promote-02,0,4,0,4
0,w,instance,welfare,0,welfare,0,2,1,1
0,h,instance,human,0,human,0,1,1,0
0,c,instance,charter,0,charter,0,2,1,1
0,b,instance,broad,0,broad,0,1,1,0
0,d,instance,date-entity,0,1936,1,2,1,1
0,n,instance,name,1,Ford,3,3,1,2
0,n3,instance,name,1,Foundation,2,3,1,2
1,a,instance,and,0,and,0,2,0,2
1,l,instance,leave-11,0,leave-11,1,5,1,4
1,p,instance,person,0,person,2,4,3,1
1,n,instance,name,0,Ford,3,2,1,1
1,c,instance,company,0,company,2,2,1,1
1,n2,instance,name,0,Edison,3,3,1,2
1,a2,instance,after,0,after,2,2,1,1
1,s,instance,succeed-01,0,succeed-01,3,4,1,3
1,i,instance,initial,0,initial,4,1,1,0
1,f,instance,form-01,0,form-01,1,5,1,4
1,c2,instance,company,0,company,2,2,1,1
1,n3,instance,name,0,Detroit,3,4,1,3
1,w,instance,with,0,with,2,2,1,1
1,p2,instance,person,0,person,3,3,2,1
1,o,instance,other,0,other,4,1,1,0
1,i2,instance,invest-01,0,invest-01,0,2,0,2
1,n2,instance,name,1,Illuminating,3,3,1,2
1,n3,instance,name,1,Automobile,3,4,1,3
1,n3,instance,name,2,Company,3,4,1,3
2,f,instance,form-01,0,form-01,0,4,1,3
2,h,instance,he,0,he,1,2,2,0
2,c,instance,company,0,company,1,3,1,2
2,o,instance,ordinal-entity,0,ordinal-entity,2,2,1,1
2,n,instance,name,0,Henry,2,4,1,3
2,c2,instance,cause-01,0,cause-01,0,3,0,3
2,i,instance,interest-01,0,interest-01,0,4,1,3
2,c3,instance,car,0,car,0,2,1,1
2,r,instance,race-02,0,race-02,0,2,1,1
2,n,instance,name,1,Ford,2,4,1,3
2,n,instance,name,2,Company,2,4,1,3
3,d,instance,drive-01,0,drive-01,0,6,0,6
3,p,instance,person,0,person,1,6,5,1
3,v,instance,vehicle,0,vehicle,1,3,1,2
3,n,instance,name,0,Quadricycle,2,2,1,1
3,p2,instance,personal-02,0,personal-02,1,3,1,2
3,p3,instance,period,0,period,1,2,1,1
3,t,instance,this,0,this,2,1,1,0
3,w,instance,well,0,well,1,5,2,3
3,r,instance,race-02,0,race-02,2,5,1,4
3,p4,instance,person,0,person,3,4,3,1
3,n2,instance,name,0,Alexander,4,3,1,2
3,d2,instance,drive-01,0,drive-01,0,3,1,2
3,k,instance,know-01,0,know-01,0,3,0,3
3,f,instance,favor-01,0,favor-01,0,3,0,3
3,h,instance,heavy,0,heavy,0,1,1,0
3,d3,instance,date-entity,0,1901,3,4,1,3
3,n2,instance,name,1,Winton,4,3,1,2
4,a,instance,and,0,and,0,2,0,2
4,f,instance,force-01,0,force-01,1,6,1,5
4,i,instance,investor,0,investor,2,2,2,0
4,i2,instance,include-01,0,include-01,0,3,0,3
4,p,instance,person,0,person,0,2,1,1
4,n,instance,name,0,Henry,0,4,1,3
4,p2,instance,person,0,person,2,2,1,1
4,n2,instance,name,0,Ford,3,2,1,1
4,c,instance,company,0,company,2,2,2,0
4,d,instance,date-entity,0,1902,2,2,1,1
4,r,instance,reorganize-01,0,reorganize-01,1,4,1,3
4,c2,instance,company,0,company,2,2,1,1
4,n3,instance,name,0,Cadillac,3,2,1,1
4,n,instance,name,1,M.,0,4,1,3
4,n,instance,name,2,Leland,0,4,1,3
5,a,instance,and,0,and,0,2,0,2
5,b,instance,become-01,0,become-01,1,5,1,4
5,p,instance,person,0,person,2,6,5,1
5,n,instance,name,0,Ford,3,2,1,1
5,e,instance,engineer,0,engineer,2,2,1,1
5,c,instance,company,0,company,3,2,1,1
5,n2,instance,name,0,Edison,4,4,1,3
5,d,instance,date-entity,0,1891,2,2,1,1
5,h,instance,have-03,0,have-03,1,6,1,5
5,a2,instance,and,0,and,2,3,1,2
5,t,instance,time,0,time,3,2,1,1
5,e2,instance,enough,0,enough,4,2,2,0
5,m,instance,money,0,money,3,2,1,1
5,d2,instance,devote-01,0,devote-01,2,5,1,4
5,a3,instance,attention,0,attention,3,1,1,0
5,e3,instance,experiment-01,0,experiment-01,3,5,1,4
5,e4,instance,engine,0,engine,4,3,1,2
5,i,instance,internal,0,internal,5,1,1,0
5,c2,instance,combustion,0,combustion,5,1,1,0
5,p2,instance,personal,0,personal,4,1,1,0
5,a4,instance,after,0,after,2,2,1,1
5,p3,instance,promote-01,0,promote-01,3,5,1,4
5,e5,instance,engineer,0,engineer,4,2,1,1
5,c3,instance,chief,0,chief,5,1,1,0
5,d3,instance,date-entity,0,1893,4,2,1,1
5,n2,instance,name,1,Illuminating,4,4,1,3
5,n2,instance,name,2,Company,4,4,1,3
6,c,instance,culminate-01,0,culminate-01,0,4,0,4
6,e,instance,experiment-01,0,experiment-01,1,3,1,2
6,t,instance,this,0,this,2,1,1,0
6,d,instance,date-entity,0,1896,1,2,1,1
6,c2,instance,complete-01,0,complete-01,1,3,1,2
6,v,instance,vehicle,0,vehicle,2,5,4,1
6,h,instance,he,0,he,3,2,2,0
6,p,instance,propel-01,0,propel-01,0,2,0,2
6,n,instance,name-01,0,name-01,0,3,0,3
6,n2,instance,name,0,Quadricycle,0,2,1,1
6,t2,instance,test-drive-01,0,test-drive-01,0,4,0,4
6,d2,instance,date-entity,0,1896,0,4,1,3
7,b,instance,bear-02,0,bear-02,0,4,0,4
7,p,instance,person,0,person,1,2,1,1
7,n,instance,name,0,Ford,2,2,1,1
7,f,instance,farm,0,farm,1,5,3,2
7,p2,instance,prosperous,0,prosperous,2,1,1,0
7,t,instance,township,0,township,2,3,1,2
7,n2,instance,name,0,Springwells,3,2,1,1
7,c,instance,city,0,city,3,4,1,3
7,n3,instance,name,0,Dearborn,4,2,1,1
7,s,instance,state,0,state,4,2,1,1
7,n4,instance,name,0,Michigan,5,2,1,1
7,n5,instance,now,0,now,4,1,1,0
7,a,instance,and,0,and,1,3,1,2
7,p3,instance,person,0,person,2,5,3,2
7,n6,instance,name,0,William,3,3,1,2
7,o,instance,own-01,0,own-01,0,3,0,3
7,d,instance,date-interval,0,date-interval,3,3,1,2
7,d2,instance,date-entity,0,1826,4,2,1,1
7,d3,instance,date-entity,0,1905,4,2,1,1
7,i,instance,immigrate-01,0,immigrate-01,0,3,0,3
7,c2,instance,county,0,county,0,4,2,2
7,n7,instance,name,0,Cork,0,2,1,1
7,c3,instance,country,0,country,0,2,1,1
7,n8,instance,name,0,Ireland,0,2,1,1
7,p4,instance,person,0,person,2,5,3,2
7,n9,instance,name,0,Mary,3,3,1,2
7,o2,instance,own-01,0,own-01,0,3,0,3
7,d4,instance,date-interval,0,date-interval,3,3,1,2
7,d5,instance,date-entity,0,1839,4,3,1,2
7,a2,instance,approximate,0,approximate,5,1,1,0
7,d6,instance,date-entity,0,1876,4,2,1,1
7,i2,instance,immigrate-01,0,immigrate-01,0,3,0,3
7,n6,instance,name,1,Ford,3,3,1,2
7,n9,instance,name,1,Litogot,3,3,1,2
8,s,instance,support-01,0,support-01,0,4,0,4
8,p,instance,person,0,person,1,2,1,1
8,n,instance,name,0,Henry,2,3,1,2
8,r,instance,regime,0,regime,1,3,1,2
8,p2,instance,political-party,0,political-party,2,2,1,1
8,n2,instance,name,0,Nazi,3,2,1,1
8,p3,instance,person,0,person,2,2,1,1
8,n3,instance,name,0,Adolf,3,3,1,2
8,y,instance,year,0,year,1,2,1,1
8,b,instance,between,0,between,2,2,1,1
8,w,instance,war,0,war,3,1,1,0
8,n,instance,name,1,Ford,2,3,1,2
8,n3,instance,name,1,Hitler,3,3,1,2
9,e,instance,evidence-01,0,evidence-01,0,4,0,4
9,a,instance,also,0,also,1,1,1,0
9,s,instance,some,0,some,1,1,1,0
